"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"310M100US15540","Burlington-South Burlington, VT Metro Area","*****","209381",
"310M100US15940","Canton-Massillon, OH Metro Area","*****","405334",
"310M100US15980","Cape Coral-Fort Myers, FL Metro Area","*****","606165",
"310M100US16020","Cape Girardeau-Jackson, MO-IL Metro Area","*****","95177",
"310M100US16180","Carson City, NV Metro Area","*****","55375",
"310M100US16220","Casper, WY Metro Area","*****","73520",
"310M100US16300","Cedar Rapids, IA Metro Area","*****","254571",
"310M100US16580","Champaign-Urbana, IL Metro Area","*****","228688",
"310M100US16620","Charleston, WV Metro Area","*****","304033",
"310M100US16700","Charleston-North Charleston-Summerville, SC Metro Area","*****","641930",
"310M100US16740","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area","*****","1687440",
"310M100US16820","Charlottesville, VA Metro Area","*****","197279",
"310M100US16860","Chattanooga, TN-GA Metro Area","*****","518288",
"310M100US16940","Cheyenne, WY Metro Area","*****","89221",
"310M100US16980","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","*****","9384661",
"310M100US17020","Chico, CA Metro Area","*****","218635",
"310M100US17140","Cincinnati-Middletown, OH-KY-IN Metro Area","*****","2110398",
"310M100US17300","Clarksville, TN-KY Metro Area","*****","263531",
"310M100US17420","Cleveland, TN Metro Area","*****","113882",
"310M100US17460","Cleveland-Elyria-Mentor, OH Metro Area","*****","2086589",
"310M100US17660","Coeur d'Alene, ID Metro Area","*****","134851",
"310M100US17780","College Station-Bryan, TX Metro Area","*****","219058",
"310M100US17820","Colorado Springs, CO Metro Area","*****","622809",
"310M100US17860","Columbia, MO Metro Area","*****","168187",
"310M100US17900","Columbia, SC Metro Area","*****","744145",
"310M100US17980","Columbus, GA-AL Metro Area","*****","290204",
"310M100US18020","Columbus, IN Metro Area","*****","75855",
"310M100US18140","Columbus, OH Metro Area","*****","1798377",
"310M100US18580","Corpus Christi, TX Metro Area","*****","423717",
"310M100US18700","Corvallis, OR Metro Area","*****","84158",
"310M100US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","*****","182076",
"310M100US19060","Cumberland, MD-WV Metro Area","*****","102434",
"310M100US19100","Dallas-Fort Worth-Arlington, TX Metro Area","*****","6154265",
"310M100US19140","Dalton, GA Metro Area","*****","139835",
"310M100US19180","Danville, IL Metro Area","*****","82033",
"310M100US19260","Danville, VA Metro Area","*****","106934",
"310M100US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","*****","376736",
"310M100US19380","Dayton, OH Metro Area","*****","843218",
"310M100US19460","Decatur, AL Metro Area","*****","151867",
"310M100US19500","Decatur, IL Metro Area","*****","110719",
"310M100US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","*****","496053",
"310M100US19740","Denver-Aurora-Broomfield, CO Metro Area","*****","2464415",
"310M100US19780","Des Moines-West Des Moines, IA Metro Area","*****","552889",
"310M100US19820","Detroit-Warren-Livonia, MI Metro Area","*****","4345978",
"310M100US20020","Dothan, AL Metro Area","*****","142718",
"310M100US20100","Dover, DE Metro Area","*****","156918",
"310M100US20220","Dubuque, IA Metro Area","*****","92547",
"310M100US20260","Duluth, MN-WI Metro Area","*****","278337",
"310M100US20500","Durham-Chapel Hill, NC Metro Area","*****","488508",
"310M100US20740","Eau Claire, WI Metro Area","*****","158847",
"310M100US20940","El Centro, CA Metro Area","*****","168052",
"310M100US21060","Elizabethtown, KY Metro Area","*****","114956",
"310M100US21140","Elkhart-Goshen, IN Metro Area","*****","196855",
"310M100US21300","Elmira, NY Metro Area","*****","88708",
"310M100US21340","El Paso, TX Metro Area","*****","772280",
"310M100US21500","Erie, PA Metro Area","*****","279234",
"310M100US21660","Eugene-Springfield, OR Metro Area","*****","347156",
"310M100US21780","Evansville, IN-KY Metro Area","*****","355854",
"310M100US21820","Fairbanks, AK Metro Area","*****","94439",
"310M100US21940","Fajardo, PR Metro Area","*****","72499",
"310M100US22020","Fargo, ND-MN Metro Area","*****","201499",
"310M100US22140","Farmington, NM Metro Area","*****","127517",
"310M100US22180","Fayetteville, NC Metro Area","*****","357122",
"310M100US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","*****","445626",
"310M100US22380","Flagstaff, AZ Metro Area","*****","131824",
"310M100US22420","Flint, MI Metro Area","*****","433054",
"310M100US22500","Florence, SC Metro Area","*****","203499",
"310M100US22520","Florence-Muscle Shoals, AL Metro Area","*****","146208",
"310M100US22540","Fond du Lac, WI Metro Area","*****","100919",
"310M100US22660","Fort Collins-Loveland, CO Metro Area","*****","291162",
"310M100US22900","Fort Smith, AR-OK Metro Area","*****","294478",
"310M100US23060","Fort Wayne, IN Metro Area","*****","412067",
"310M100US23420","Fresno, CA Metro Area","*****","908830",
"310M100US23460","Gadsden, AL Metro Area","*****","104066",
"310M100US23540","Gainesville, FL Metro Area","*****","260930",
"310M100US23580","Gainesville, GA Metro Area","*****","175001",
"310M100US24020","Glens Falls, NY Metro Area","*****","128795",
"310M100US24140","Goldsboro, NC Metro Area","*****","120102",
"310M100US24220","Grand Forks, ND-MN Metro Area","*****","98107",
"310M100US24300","Grand Junction, CO Metro Area","*****","142284",
"310M100US24340","Grand Rapids-Wyoming, MI Metro Area","*****","772621",
"310M100US24500","Great Falls, MT Metro Area","*****","80562",
"310M100US24540","Greeley, CO Metro Area","*****","242860",
"310M100US24580","Green Bay, WI Metro Area","*****","302755",
"310M100US24660","Greensboro-High Point, NC Metro Area","*****","709142",
"310M100US24780","Greenville, NC Metro Area","*****","182542",
"310M100US24860","Greenville-Mauldin-Easley, SC Metro Area","*****","621286",
"310M100US25020","Guayama, PR Metro Area","*****","84575",
"310M100US25060","Gulfport-Biloxi, MS Metro Area","*****","241122",
"310M100US25180","Hagerstown-Martinsburg, MD-WV Metro Area","*****","264648",
"310M100US25260","Hanford-Corcoran, CA Metro Area","*****","151122",
"310M100US25420","Harrisburg-Carlisle, PA Metro Area","*****","541758",
"310M100US25500","Harrisonburg, VA Metro Area","*****","122328",
"310M100US25540","Hartford-West Hartford-East Hartford, CT Metro Area","*****","1203823",
"310M100US25620","Hattiesburg, MS Metro Area","*****","139092",
"310M100US25860","Hickory-Lenoir-Morganton, NC Metro Area","*****","362665",
"310M100US25980","Hinesville-Fort Stewart, GA Metro Area","*****","76996",
"310M100US26100","Holland-Grand Haven, MI Metro Area","*****","261376",
"310M100US26180","Honolulu, HI Metro Area","*****","936984",
"310M100US26300","Hot Springs, AR Metro Area","*****","95290",
"310M100US26380","Houma-Bayou Cane-Thibodaux, LA Metro Area","*****","206559",
"310M100US26420","Houston-Sugar Land-Baytown, TX Metro Area","*****","5709313",
"310M100US26580","Huntington-Ashland, WV-KY-OH Metro Area","*****","287112",
"310M100US26620","Huntsville, AL Metro Area","*****","401694",
"310M100US26820","Idaho Falls, ID Metro Area","*****","124736",
"310M100US26900","Indianapolis-Carmel, IN Metro Area","*****","1717259",
"310M100US26980","Iowa City, IA Metro Area","*****","148620",
"310M100US27060","Ithaca, NY Metro Area","*****","100612",
"310M100US27100","Jackson, MI Metro Area","*****","161569",
"310M100US27140","Jackson, MS Metro Area","*****","533673",
"310M100US27180","Jackson, TN Metro Area","*****","114171",
"310M100US27260","Jacksonville, FL Metro Area","*****","1319195",
"310M100US27340","Jacksonville, NC Metro Area","*****","169207",
"310M100US27500","Janesville, WI Metro Area","*****","159964",
"310M100US27620","Jefferson City, MO Metro Area","*****","147772",
"310M100US27740","Johnson City, TN Metro Area","*****","195735",
"310M100US27780","Johnstown, PA Metro Area","*****","144741",
"310M100US27860","Jonesboro, AR Metro Area","*****","118032",
"310M100US27900","Joplin, MO Metro Area","*****","172590",
"310M100US28020","Kalamazoo-Portage, MI Metro Area","*****","323831",
"310M100US28100","Kankakee-Bradley, IL Metro Area","*****","112100",
"310M100US28140","Kansas City, MO-KS Metro Area","*****","1999718",
"310M100US28420","Kennewick-Pasco-Richland, WA Metro Area","*****","238406",
"310M100US28660","Killeen-Temple-Fort Hood, TX Metro Area","*****","388448",
"310M100US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","*****","307637",
"310M100US28740","Kingston, NY Metro Area","*****","182782",
"310M100US28940","Knoxville, TN Metro Area","*****","685335",
"310M100US29020","Kokomo, IN Metro Area","*****","99458",
"310M100US29100","La Crosse, WI-MN Metro Area","*****","132045",
"310M100US29140","Lafayette, IN Metro Area","*****","197590",
"310M100US29180","Lafayette, LA Metro Area","*****","267302",
"310M100US29340","Lake Charles, LA Metro Area","*****","196414",
"310M100US29420","Lake Havasu City-Kingman, AZ Metro Area","*****","199177",
"310M100US29460","Lakeland-Winter Haven, FL Metro Area","*****","590116",
"310M100US29540","Lancaster, PA Metro Area","*****","511250",
"310M100US29620","Lansing-East Lansing, MI Metro Area","*****","463602",
"310M100US29700","Laredo, TX Metro Area","*****","240346",
"310M100US29740","Las Cruces, NM Metro Area","*****","201670",
"310M100US29820","Las Vegas-Paradise, NV Metro Area","*****","1895521",
"310M100US29940","Lawrence, KS Metro Area","*****","109052",
"310M100US30020","Lawton, OK Metro Area","*****","119902",
"310M100US30140","Lebanon, PA Metro Area","*****","131341",
"310M100US30300","Lewiston, ID-WA Metro Area","*****","60249",
"310M100US30340","Lewiston-Auburn, ME Metro Area","*****","107882",
"310M100US30460","Lexington-Fayette, KY Metro Area","*****","459761",
"310M100US30620","Lima, OH Metro Area","*****","106586",
"310M100US30700","Lincoln, NE Metro Area","*****","296056",
"310M100US30780","Little Rock-North Little Rock-Conway, AR Metro Area","*****","681812",
"310M100US30860","Logan, UT-ID Metro Area","*****","119575",
"310M100US30980","Longview, TX Metro Area","*****","210226",
"310M100US31020","Longview, WA Metro Area","*****","101244",
"310M100US31100","Los Angeles-Long Beach-Santa Ana, CA Metro Area","*****","12723781",
"310M100US31140","Louisville/Jefferson County, KY-IN Metro Area","*****","1261825",
"310M100US31180","Lubbock, TX Metro Area","*****","276139",
"310M100US31340","Lynchburg, VA Metro Area","*****","248742",
"310M100US31420","Macon, GA Metro Area","*****","231172",
"310M100US31460","Madera-Chowchilla, CA Metro Area","*****","147738",
"310M100US31540","Madison, WI Metro Area","*****","557744",
"310M100US31700","Manchester-Nashua, NH Metro Area","*****","399555",
"310M100US31740","Manhattan, KS Metro Area","*****","120353",
"310M100US31860","Mankato-North Mankato, MN Metro Area","*****","94990",
"310M100US31900","Mansfield, OH Metro Area","*****","125980",
"310M100US32420","Mayag?ez, PR Metro Area","*****","108418",
"310M100US32580","McAllen-Edinburg-Mission, TX Metro Area","*****","736973",
"310M100US32780","Medford, OR Metro Area","*****","200587",
"310M100US32820","Memphis, TN-MS-AR Metro Area","*****","1301248",
"310M100US32900","Merced, CA Metro Area","*****","250699",
"310M100US33100","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","*****","5478869",
"310M100US33140","Michigan City-La Porte, IN Metro Area","*****","110937",
"310M100US33260","Midland, TX Metro Area","*****","132103",
"310M100US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","*****","1539897",
"310M100US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","*****","3229181",
"310M100US33540","Missoula, MT Metro Area","*****","107288",
"310M100US33660","Mobile, AL Metro Area","*****","408620",
"310M100US33700","Modesto, CA Metro Area","*****","509682",
"310M100US33740","Monroe, LA Metro Area","*****","174957",
"310M100US33780","Monroe, MI Metro Area","*****","152784",
"310M100US33860","Montgomery, AL Metro Area","*****","370554",
"310M100US34060","Morgantown, WV Metro Area","*****","125691",
"310M100US34100","Morristown, TN Metro Area","*****","134876",
"310M100US34580","Mount Vernon-Anacortes, WA Metro Area","*****","115231",
"310M100US34620","Muncie, IN Metro Area","*****","117344",
"310M100US34740","Muskegon-Norton Shores, MI Metro Area","*****","173223",
"310M100US34820","Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area","*****","258267",
"310M100US34900","Napa, CA Metro Area","*****","134051",
"310M100US34940","Naples-Marco Island, FL Metro Area","*****","316931",
"310M100US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","*****","1541541",
"310M100US35300","New Haven-Milford, CT Metro Area","*****","856688",
"310M100US35380","New Orleans-Metairie-Kenner, LA Metro Area","*****","1105020",
"310M100US35620","New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area","*****","18700715",
"310M100US35660","Niles-Benton Harbor, MI Metro Area","*****","157232",
"310M100US35840","North Port-Bradenton-Sarasota, FL Metro Area","*****","694819",
"310M100US35980","Norwich-New London, CT Metro Area","*****","272360",
"310M100US36100","Ocala, FL Metro Area","*****","326833",
"310M100US36140","Ocean City, NJ Metro Area","*****","97684",
"310M100US36220","Odessa, TX Metro Area","*****","133015",
"310M100US36260","Ogden-Clearfield, UT Metro Area","*****","526394",
"310M100US36420","Oklahoma City, OK Metro Area","*****","1218920",
"310M100US36500","Olympia, WA Metro Area","*****","243563",
"310M100US36540","Omaha-Council Bluffs, NE-IA Metro Area","*****","845820",
"310M100US36740","Orlando-Kissimmee-Sanford, FL Metro Area","*****","2083626",
"310M100US36780","Oshkosh-Neenah, WI Metro Area","*****","165032",
"310M100US36980","Owensboro, KY Metro Area","*****","113588",
"310M100US37100","Oxnard-Thousand Oaks-Ventura, CA Metro Area","*****","809080",
"310M100US37340","Palm Bay-Melbourne-Titusville, FL Metro Area","*****","540583",
"310M100US37380","Palm Coast, FL Metro Area","*****","91806",
"310M100US37460","Panama City-Lynn Haven-Panama City Beach, FL Metro Area","*****","166798",
"310M100US37620","Parkersburg-Marietta-Vienna, WV-OH Metro Area","*****","162214",
"310M100US37700","Pascagoula, MS Metro Area","*****","159143",
"310M100US37860","Pensacola-Ferry Pass-Brent, FL Metro Area","*****","445778",
"310M100US37900","Peoria, IL Metro Area","*****","376046",
"310M100US37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","*****","5911638",
"310M100US38060","Phoenix-Mesa-Glendale, AZ Metro Area","*****","4080707",
"310M100US38220","Pine Bluff, AR Metro Area","*****","101419",
"310M100US38300","Pittsburgh, PA Metro Area","*****","2358313",
"310M100US38340","Pittsfield, MA Metro Area","*****","131528",
"310M100US38540","Pocatello, ID Metro Area","*****","88334",
"310M100US38660","Ponce, PR Metro Area","*****","248505",
"310M100US38860","Portland-South Portland-Biddeford, ME Metro Area","*****","513139",
"310M100US38900","Portland-Vancouver-Hillsboro, OR-WA Metro Area","*****","2170801",
"310M100US38940","Port St. Lucie, FL Metro Area","*****","413981",
"310M100US39100","Poughkeepsie-Newburgh-Middletown, NY Metro Area","*****","666353",
"310M100US39140","Prescott, AZ Metro Area","*****","209260",
"310M100US39300","Providence-New Bedford-Fall River, RI-MA Metro Area","*****","1602822",
"310M100US39340","Provo-Orem, UT Metro Area","*****","495922",
"310M100US39380","Pueblo, CO Metro Area","*****","156244",
"310M100US39460","Punta Gorda, FL Metro Area","*****","159385",
"310M100US39540","Racine, WI Metro Area","*****","194736",
"310M100US39580","Raleigh-Cary, NC Metro Area","*****","1069694",
"310M100US39660","Rapid City, SD Metro Area","*****","123078",
"310M100US39740","Reading, PA Metro Area","*****","407310",
"310M100US39820","Redding, CA Metro Area","*****","176906",
"310M100US39900","Reno-Sparks, NV Metro Area","*****","416860",
"310M100US40060","Richmond, VA Metro Area","*****","1235365",
"310M100US40140","Riverside-San Bernardino-Ontario, CA Metro Area","*****","4114751",
"310M100US40220","Roanoke, VA Metro Area","*****","304995",
"310M100US40340","Rochester, MN Metro Area","*****","182816",
"310M100US40380","Rochester, NY Metro Area","*****","1049836",
"310M100US40420","Rockford, IL Metro Area","*****","347539",
"310M100US40580","Rocky Mount, NC Metro Area","*****","150649",
"310M100US40660","Rome, GA Metro Area","*****","95810",
"310M100US40900","Sacramento--Arden-Arcade--Roseville, CA Metro Area","*****","2107092",
"310M100US40980","Saginaw-Saginaw Township North, MI Metro Area","*****","202336",
"310M100US41060","St. Cloud, MN Metro Area","*****","186075",
"310M100US41100","St. George, UT Metro Area","*****","134033",
"310M100US41140","St. Joseph, MO-KS Metro Area","*****","126030",
"310M100US41180","St. Louis, MO-IL Metro Area","*****","2792309",
"310M100US41420","Salem, OR Metro Area","*****","383639",
"310M100US41500","Salinas, CA Metro Area","*****","407435",
"310M100US41540","Salisbury, MD Metro Area","*****","123362",
"310M100US41620","Salt Lake City, UT Metro Area","*****","1090848",
"310M100US41660","San Angelo, TX Metro Area","235","109673",
"310M100US41700","San Antonio-New Braunfels, TX Metro Area","*****","2057782",
"310M100US41740","San Diego-Carlsbad-San Marcos, CA Metro Area","*****","3022468",
"310M100US41780","Sandusky, OH Metro Area","*****","77454",
"310M100US41860","San Francisco-Oakland-Fremont, CA Metro Area","*****","4244889",
"310M100US41900","San Germ?n-Cabo Rojo, PR Metro Area","*****","137997",
"310M100US41940","San Jose-Sunnyvale-Santa Clara, CA Metro Area","*****","1793888",
"310M100US41980","San Juan-Caguas-Guaynabo, PR Metro Area","*****","2498788",
"310M100US42020","San Luis Obispo-Paso Robles, CA Metro Area","*****","265577",
"310M100US42060","Santa Barbara-Santa Maria-Goleta, CA Metro Area","*****","416051",
"310M100US42100","Santa Cruz-Watsonville, CA Metro Area","*****","256901",
"310M100US42140","Santa Fe, NM Metro Area","*****","141702",
"310M100US42220","Santa Rosa-Petaluma, CA Metro Area","*****","474047",
"310M100US42340","Savannah, GA Metro Area","*****","335980",
"310M100US42540","Scranton--Wilkes-Barre, PA Metro Area","*****","561113",
"310M100US42660","Seattle-Tacoma-Bellevue, WA Metro Area","*****","3356089",
"310M100US42680","Sebastian-Vero Beach, FL Metro Area","*****","135518",
"310M100US43100","Sheboygan, WI Metro Area","*****","115328",
"310M100US43300","Sherman-Denison, TX Metro Area","*****","119111",
"310M100US43340","Shreveport-Bossier City, LA Metro Area","*****","393350",
"310M100US43580","Sioux City, IA-NE-SD Metro Area","*****","141794",
"310M100US43620","Sioux Falls, SD Metro Area","*****","221095",
"310M100US43780","South Bend-Mishawaka, IN-MI Metro Area","*****","318951",
"310M100US43900","Spartanburg, SC Metro Area","*****","278167",
"310M100US44060","Spokane, WA Metro Area","*****","461262",
"310M100US44100","Springfield, IL Metro Area","*****","207990",
"310M100US44140","Springfield, MA Metro Area","*****","691119",
"310M100US44180","Springfield, MO Metro Area","*****","427566",
"310M100US44220","Springfield, OH Metro Area","*****","139374",
"310M100US44300","State College, PA Metro Area","*****","151411",
"310M100US44600","Steubenville-Weirton, OH-WV Metro Area","*****","125101",
"310M100US44700","Stockton, CA Metro Area","*****","673613",
"310M100US44940","Sumter, SC Metro Area","*****","106601",
"310M100US45060","Syracuse, NY Metro Area","*****","658811",
"310M100US45220","Tallahassee, FL Metro Area","*****","360391",
"310M100US45300","Tampa-St. Petersburg-Clearwater, FL Metro Area","*****","2745350",
"310M100US45460","Terre Haute, IN Metro Area","*****","172066",
"310M100US45500","Texarkana, TX-Texarkana, AR Metro Area","*****","134447",
"310M100US45780","Toledo, OH Metro Area","*****","653650",
"310M100US45820","Topeka, KS Metro Area","*****","231386",
"310M100US45940","Trenton-Ewing, NJ Metro Area","*****","364445",
"310M100US46060","Tucson, AZ Metro Area","*****","964462",
"310M100US46140","Tulsa, OK Metro Area","*****","917367",
"310M100US46220","Tuscaloosa, AL Metro Area","*****","213754",
"310M100US46340","Tyler, TX Metro Area","*****","203393",
"310M100US46540","Utica-Rome, NY Metro Area","*****","298865",
"310M100US46660","Valdosta, GA Metro Area","*****","134631",
"310M100US46700","Vallejo-Fairfield, CA Metro Area","*****","410042",
"310M100US47020","Victoria, TX Metro Area","*****","114094",
"310M100US47220","Vineland-Millville-Bridgeton, NJ Metro Area","*****","155456",
"310M100US47260","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","*****","1663070",
"310M100US47300","Visalia-Porterville, CA Metro Area","*****","429404",
"310M100US47380","Waco, TX Metro Area","*****","229587",
"310M100US47580","Warner Robins, GA Metro Area","*****","134880",
"310M100US47900","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","*****","5416691",
"310M100US47940","Waterloo-Cedar Falls, IA Metro Area","*****","165838",
"310M100US48140","Wausau, WI Metro Area","*****","132644",
"310M100US48300","Wenatchee-East Wenatchee, WA Metro Area","*****","108155",
"310M100US48540","Wheeling, WV-OH Metro Area","*****","148354",
"310M100US48620","Wichita, KS Metro Area","*****","609383",
"310M100US48660","Wichita Falls, TX Metro Area","*****","150953",
"310M100US48700","Williamsport, PA Metro Area","*****","116376",
"310M100US48900","Wilmington, NC Metro Area","*****","349522",
"310M100US49020","Winchester, VA-WV Metro Area","*****","125382",
"310M100US49180","Winston-Salem, NC Metro Area","*****","468922",
"310M100US49340","Worcester, MA Metro Area","*****","791855",
"310M100US49420","Yakima, WA Metro Area","*****","236542",
"310M100US49500","Yauco, PR Metro Area","*****","109937",
"310M100US49620","York-Hanover, PA Metro Area","*****","428175",
"310M100US49660","Youngstown-Warren-Boardman, OH-PA Metro Area","*****","571975",
"310M100US49700","Yuba City, CA Metro Area","*****","164580",
"310M100US49740","Yuma, AZ Metro Area","*****","190526",
